data,produto,quantidade,preço
2025-04-13,C,6,15.358337070869988
2025-06-29,A,7,27.463702094813854
2025-04-03,C,4,30.74018896441324
2025-01-15,E,7,39.584930643783906
2025-04-17,B,8,6.962169728949519
2025-03-13,B,1,49.754772985880344
2025-01-21,A,6,26.147503129592433
2025-04-13,D,8,17.580215380854135
2025-05-02,A,5,44.75723100198165
2025-03-16,D,4,38.64734482538363
2025-03-29,B,2,47.88823311607789
2025-04-27,A,6,19.883763710173117
2025-04-10,E,6,29.874423507597047
2025-04-14,C,1,30.753161112687724
2025-06-01,D,9,49.11492126722206
2025-05-11,C,6,8.39058152027577
2025-05-30,C,3,18.756365867923183
2025-02-22,A,4,13.59099640176557
2025-01-02,C,4,17.081368560057058
2025-03-29,E,3,26.837594342434205
2025-06-07,C,3,21.770909019232217
2025-02-07,A,3,22.76111600642625
2025-05-10,E,4,42.989591332684014
2025-01-21,B,7,46.85075756648743
2025-06-10,C,4,8.168725888229476
2025-02-27,A,9,14.401342292691208
2025-01-22,B,1,35.20145825708228
2025-03-30,B,8,21.139105158327375
2025-02-18,D,7,16.437364208138245
2025-02-28,E,2,18.288076478852243
2025-06-19,C,8,19.514784390737024
2025-01-15,A,1,43.19014077161035
2025-06-24,D,9,11.147959914891297
2025-02-20,E,9,36.900994860955336
2025-04-18,D,2,29.876898960855847
2025-02-24,E,7,18.34295646415093
2025-03-05,E,3,23.890138540082443
2025-05-11,C,7,16.529312461750614
2025-02-20,E,9,32.518116988955626
2025-05-15,D,4,8.671738118010817
2025-01-21,E,1,5.233318824829405
2025-03-14,C,2,33.25524867268862
2025-06-16,C,1,13.7423279080419
2025-01-18,D,5,8.192341264996745
2025-05-12,B,5,22.855272224624976
2025-03-30,B,7,7.284583896772862
2025-03-01,E,9,44.89777170277969
2025-01-14,A,9,6.242754734316712
2025-01-09,E,3,31.04892029784014
2025-03-31,D,3,24.731335535813912
2025-02-22,D,3,35.24117608828397
2025-05-10,D,4,19.76687003636294
2025-03-25,D,8,11.976872752748488
2025-04-02,D,6,49.1828399739739
2025-04-21,C,8,42.75200759312135
2025-06-21,B,1,43.718207824025384
2025-01-08,D,8,16.26131122321388
2025-06-24,A,4,6.747563049324044
2025-02-04,A,1,18.646948160295025
2025-03-22,A,8,29.168709223849493
2025-06-13,A,4,19.69930588082184
2025-02-19,C,6,42.25410517044149
2025-04-14,A,8,17.219431211888384
2025-05-12,D,4,48.43633236758464
2025-01-02,E,3,25.576932272617785
2025-05-14,A,9,42.89103837553916
2025-02-23,C,3,13.747101529769287
2025-04-16,C,9,23.510925727550536
2025-01-04,A,2,36.47804948452372
2025-02-23,E,2,11.225889158801062
2025-05-26,A,2,10.973544000933641
2025-02-13,C,6,48.62915902013715
2025-06-11,B,3,37.15677968809784
2025-01-14,D,9,6.84803825455441
2025-04-05,C,4,22.946940565015755
2025-02-17,A,1,24.508433191133392
2025-01-15,D,4,38.48191893496019
2025-02-09,A,1,16.288723730599756
2025-03-23,A,5,13.295015344911652
2025-04-21,B,4,8.639283497773896
2025-02-22,D,8,24.27415137230485
2025-01-24,D,8,35.98249553444148
2025-06-03,B,7,7.618711797879962
2025-05-04,C,3,46.18461774319162
2025-02-10,A,1,24.9058503378997
2025-06-06,E,1,15.790431162083145
2025-01-15,A,3,9.224298053658128
2025-02-14,A,6,13.22896986982883
2025-03-06,C,7,47.05762988028694
2025-03-30,A,6,33.72217672295076
2025-03-12,B,6,28.2513315841955
2025-01-09,B,6,34.57000978250751
2025-03-29,D,3,24.605280440505098
2025-05-09,E,6,37.85176924528184
2025-05-16,A,8,7.147225746124196
2025-03-04,A,2,30.471674472233435
2025-05-19,C,5,12.139090143912096
2025-03-22,B,1,10.407409151253898
2025-05-16,E,1,20.38458500223807
2025-06-12,D,5,9.130957961604885
